Timestamp, LinkStatus, FirmwareVersion, Profile, Upstream, Downstream, SNR1, SNR2
1594474627, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594474637, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594474647, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594474657, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594474667, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474678, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474688, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594474698, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474708, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474718, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474728, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474738, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474748, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474759, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594474769, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594474779, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594474789, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474799, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594474809, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474819, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474829, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474840, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474850, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474860, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474870, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474880, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594474890, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474900, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 12, 17
1594474911, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594474921, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474931, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474941, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474951, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474961, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474971, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474981, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 13, 17
1594474992, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475002, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594475012, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475022, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594475032, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594475042, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475052, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475062, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594475073, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
