Unixtime, RawVoltage, boardtemp, Lat, Long, Alt, Speed, Course, Satelites, SecondsToFix, hAccuracy, vAccuracy, DateTime, CalcVoltage, CalcLat, CalcLong,
1604412796, 118, 24, 513869833, -4080374, 20, 10, 14, 4, 9, 71056, 60988, 2020-11-03 14:13:16, 3.6941176470588237, 51.3869833, -0.4080374, 
1604412853, 117, 24, 513872813, -4080247, 0, 9, 245, 5, 6, 72955, 66092, 2020-11-03 14:14:13, 3.6882352941176473, 51.3872813, -0.4080247, 
1604412919, 117, 24, 513869358, -4080599, 11, 9, 1, 4, 12, 67599, 67876, 2020-11-03 14:15:19, 3.6882352941176473, 51.3869358, -0.4080599, 
1604412974, 117, 24, 513867770, -4079247, 25, 10, 0, 4, 7, 71836, 67691, 2020-11-03 14:16:14, 3.6882352941176473, 51.386777, -0.4079247, 
1604413030, 117, 24, 513871856, -4080033, 27, 19, 15, 4, 3, 69313, 70645, 2020-11-03 14:17:10, 3.6882352941176473, 51.3871856, -0.4080033, 
1604413095, 117, 24, 513869805, -4080702, 10, 22, 12, 4, 8, 74342, 65346, 2020-11-03 14:18:15, 3.6882352941176473, 51.3869805, -0.4080702, 
1604413148, 117, 24, 513867851, -4079914, 32, 20, 243, 5, 1, 76586, 63149, 2020-11-03 14:19:08, 3.6882352941176473, 51.3867851, -0.4079914, 
1604413209, 117, 24, 513869763, -4080068, -11, 2, 0, 5, 2, 70429, 68800, 2020-11-03 14:20:09, 3.6882352941176473, 51.3869763, -0.4080068, 
1604413277, 117, 24, 513873894, -4082095, 12, 12, 16, 4, 10, 69162, 63490, 2020-11-03 14:21:17, 3.6882352941176473, 51.3873894, -0.4082095, 
1604413329, 117, 24, 513867827, -4080967, 7, 15, 254, 5, 2, 70251, 56974, 2020-11-03 14:22:09, 3.6882352941176473, 51.3867827, -0.4080967, 
1604413388, 117, 24, 513873045, -4083744, -22, 8, 244, 5, 1, 63730, 50886, 2020-11-03 14:23:08, 3.6882352941176473, 51.3873045, -0.4083744, 
1604413508, 117, 24, 513868115, -4082708, 12, 14, 207, 5, 1, 27395, 23674, 2020-11-03 14:25:08, 3.6882352941176473, 51.3868115, -0.4082708, 
1604413568, 117, 24, 513867783, -4081194, 3, 1, 0, 6, 1, 21564, 22962, 2020-11-03 14:26:08, 3.6882352941176473, 51.3867783, -0.4081194, 
1604413629, 117, 24, 513868458, -4081942, 30, 2, 252, 5, 2, 22041, 27806, 2020-11-03 14:27:09, 3.6882352941176473, 51.3868458, -0.4081942, 
1604413688, 117, 24, 513869812, -4082887, 0, 1, 236, 6, 1, 27846, 29235, 2020-11-03 14:28:08, 3.6882352941176473, 51.3869812, -0.4082887, 
1604413748, 117, 24, 513868583, -4081360, 17, 7, 229, 5, 1, 49980, 44034, 2020-11-03 14:29:08, 3.6882352941176473, 51.3868583, -0.408136, 
1604413808, 117, 24, 513870151, -4085956, 10, 18, 225, 5, 1, 50872, 36569, 2020-11-03 14:30:08, 3.6882352941176473, 51.3870151, -0.4085956, 
1604413869, 117, 24, 513866810, -4079500, -11, 7, 0, 5, 2, 68237, 65662, 2020-11-03 14:31:09, 3.6882352941176473, 51.386681, -0.40795, 
1604413929, 116, 24, 513867828, -4081545, 25, 9, 0, 5, 2, 46863, 44392, 2020-11-03 14:32:09, 3.682352941176471, 51.3867828, -0.4081545, 
1604413988, 117, 24, 513868731, -4083019, 31, 4, 0, 5, 1, 45073, 53030, 2020-11-03 14:33:08, 3.6882352941176473, 51.3868731, -0.4083019, 
1604414048, 116, 24, 513868963, -4080146, 27, 10, 0, 4, 1, 44686, 49730, 2020-11-03 14:34:08, 3.682352941176471, 51.3868963, -0.4080146, 
1604414111, 117, 24, 513869473, -4080656, 19, 13, 12, 4, 4, 65676, 54115, 2020-11-03 14:35:11, 3.6882352941176473, 51.3869473, -0.4080656, 
1604414169, 116, 24, 513868097, -4082488, 44, 3, 0, 5, 2, 62412, 76380, 2020-11-03 14:36:09, 3.682352941176471, 51.3868097, -0.4082488, 
1604414230, 117, 24, 513869733, -4080279, 21, 11, 12, 4, 3, 69235, 51433, 2020-11-03 14:37:10, 3.6882352941176473, 51.3869733, -0.4080279, 
1604414300, 117, 24, 513871307, -4080082, 37, 8, 27, 5, 13, 55240, 63759, 2020-11-03 14:38:20, 3.6882352941176473, 51.3871307, -0.4080082, 
1604414352, 116, 24, 513869265, -4080748, 20, 5, 0, 5, 5, 63829, 61865, 2020-11-03 14:39:12, 3.682352941176471, 51.3869265, -0.4080748, 
1604414410, 117, 24, 513869717, -4079751, 16, 13, 16, 5, 3, 59057, 57267, 2020-11-03 14:40:10, 3.6882352941176473, 51.3869717, -0.4079751, 
1604414470, 116, 24, 513871532, -4079874, 40, 5, 13, 5, 3, 60007, 62317, 2020-11-03 14:41:10, 3.682352941176471, 51.3871532, -0.4079874, 
1604414528, 117, 24, 513869551, -4081293, 35, 8, 17, 5, 1, 34131, 38865, 2020-11-03 14:42:08, 3.6882352941176473, 51.3869551, -0.4081293, 
1604414588, 116, 24, 513869256, -4081297, 30, 6, 9, 5, 1, 35992, 46202, 2020-11-03 14:43:08, 3.682352941176471, 51.3869256, -0.4081297, 
1604414648, 117, 24, 513869813, -4079989, 22, 14, 47, 4, 1, 45691, 85815, 2020-11-03 14:44:08, 3.6882352941176473, 51.3869813, -0.4079989, 
1604414722, 116, 24, 513868838, -4078255, -18, 3, 18, 5, 15, 36100, 46823, 2020-11-03 14:45:22, 3.682352941176471, 51.3868838, -0.4078255, 
1604414768, 116, 24, 513869365, -4078561, -8, 10, 42, 5, 1, 24841, 39396, 2020-11-03 14:46:08, 3.682352941176471, 51.3869365, -0.4078561, 
1604414851, 116, 24, 513868512, -4080609, 0, 0, 17, 5, 24, 24006, 34645, 2020-11-03 14:47:31, 3.682352941176471, 51.3868512, -0.4080609, 
1604414888, 116, 24, 513868109, -4080812, 7, 0, 40, 6, 1, 12813, 17585, 2020-11-03 14:48:08, 3.682352941176471, 51.3868109, -0.4080812, 
1604414948, 116, 24, 513868034, -4081018, 17, 0, 51, 5, 1, 17949, 23012, 2020-11-03 14:49:08, 3.682352941176471, 51.3868034, -0.4081018, 
1604415007, 116, 24, 513868404, -4080791, 16, 0, 0, 4, 0, 50107, 58232, 2020-11-03 14:50:07, 3.682352941176471, 51.3868404, -0.4080791, 
1604415068, 116, 24, 513868081, -4080708, 6, 6, 44, 5, 1, 20148, 24201, 2020-11-03 14:51:08, 3.682352941176471, 51.3868081, -0.4080708, 
1604415128, 116, 24, 513868218, -4080640, 1, 6, 45, 5, 1, 21056, 22415, 2020-11-03 14:52:08, 3.682352941176471, 51.3868218, -0.408064, 
1604415188, 116, 24, 513868597, -4079267, 3, 10, 39, 6, 1, 30857, 24585, 2020-11-03 14:53:08, 3.682352941176471, 51.3868597, -0.4079267, 
1604415247, 116, 24, 513868646, -4079668, 0, 2, 0, 5, 0, 39702, 39226, 2020-11-03 14:54:07, 3.682352941176471, 51.3868646, -0.4079668, 
1604415308, 116, 24, 513868182, -4081912, 18, 5, 38, 6, 1, 31361, 24942, 2020-11-03 14:55:08, 3.682352941176471, 51.3868182, -0.4081912, 
1604415368, 116, 24, 513869598, -4080542, 27, 4, 6, 7, 1, 22705, 23840, 2020-11-03 14:56:08, 3.682352941176471, 51.3869598, -0.4080542, 
1604415428, 116, 24, 513868055, -4081393, 6, 9, 16, 6, 1, 28950, 27424, 2020-11-03 14:57:08, 3.682352941176471, 51.3868055, -0.4081393, 
1604415488, 116, 24, 513867462, -4081181, 0, 2, 0, 5, 1, 32064, 29491, 2020-11-03 14:58:08, 3.682352941176471, 51.3867462, -0.4081181, 
1604415548, 116, 24, 513869137, -4080203, 13, 11, 1, 6, 1, 35656, 33376, 2020-11-03 14:59:08, 3.682352941176471, 51.3869137, -0.4080203, 
1604415610, 116, 24, 513868170, -4080880, 6, 8, 0, 4, 3, 67884, 50695, 2020-11-03 15:00:10, 3.682352941176471, 51.386817, -0.408088, 
1604415668, 116, 24, 513868784, -4079678, -1, 16, 13, 5, 1, 31304, 26143, 2020-11-03 15:01:08, 3.682352941176471, 51.3868784, -0.4079678, 
1604415788, 116, 24, 513868858, -4081151, 23, 1, 48, 5, 1, 56363, 57107, 2020-11-03 15:03:08, 3.682352941176471, 51.3868858, -0.4081151, 
1604415848, 116, 24, 513868902, -4080012, 14, 14, 21, 4, 1, 46608, 38634, 2020-11-03 15:04:08, 3.682352941176471, 51.3868902, -0.4080012, 
1604415908, 116, 24, 513870163, -4080290, 29, 12, 15, 6, 1, 62414, 76114, 2020-11-03 15:05:08, 3.682352941176471, 51.3870163, -0.408029, 
1604415967, 116, 24, 513868341, -4080362, -2, 12, 17, 5, 0, 38535, 36110, 2020-11-03 15:06:07, 3.682352941176471, 51.3868341, -0.4080362, 
1604416028, 115, 24, 513868046, -4080015, -2, 11, 3, 6, 1, 28543, 29643, 2020-11-03 15:07:08, 3.6764705882352944, 51.3868046, -0.4080015, 
1604416088, 116, 24, 513868930, -4079248, 1, 1, 12, 5, 1, 20882, 21964, 2020-11-03 15:08:08, 3.682352941176471, 51.386893, -0.4079248, 
1604416148, 115, 24, 513867832, -4080212, -13, 8, 0, 5, 1, 34809, 38374, 2020-11-03 15:09:08, 3.6764705882352944, 51.3867832, -0.4080212, 
1604416208, 115, 24, 513868542, -4080076, 8, 10, 6, 5, 1, 26746, 30445, 2020-11-03 15:10:08, 3.6764705882352944, 51.3868542, -0.4080076, 
1604416267, 116, 24, 513868793, -4079091, 0, 4, 15, 5, 0, 34420, 37508, 2020-11-03 15:11:07, 3.682352941176471, 51.3868793, -0.4079091, 
1604416327, 115, 24, 513869075, -4079686, 8, 0, 6, 6, 0, 22075, 24967, 2020-11-03 15:12:07, 3.6764705882352944, 51.3869075, -0.4079686, 
1604416387, 115, 24, 513868722, -4080244, 8, 12, 14, 4, 0, 36036, 44444, 2020-11-03 15:13:07, 3.6764705882352944, 51.3868722, -0.4080244, 
1604416447, 115, 24, 513868834, -4079203, -2, 0, 15, 4, 0, 35623, 41846, 2020-11-03 15:14:07, 3.6764705882352944, 51.3868834, -0.4079203, 
1604416508, 115, 24, 513868498, -4080579, 12, 0, 50, 5, 1, 19703, 23378, 2020-11-03 15:15:08, 3.6764705882352944, 51.3868498, -0.4080579, 
1604416567, 115, 24, 513869315, -4080137, 13, 15, 15, 6, 0, 26227, 30031, 2020-11-03 15:16:07, 3.6764705882352944, 51.3869315, -0.4080137, 
1604416627, 116, 24, 513869308, -4080567, 25, 6, 11, 5, 0, 22745, 23740, 2020-11-03 15:17:07, 3.682352941176471, 51.3869308, -0.4080567, 
1604416687, 115, 24, 513869694, -4080889, 32, 11, 15, 5, 0, 52946, 57175, 2020-11-03 15:18:07, 3.6764705882352944, 51.3869694, -0.4080889, 
1604416757, 115, 24, 513867460, -4080295, -2, 3, 15, 6, 10, 59570, 63601, 2020-11-03 15:19:17, 3.6764705882352944, 51.386746, -0.4080295, 
1604416808, 115, 24, 513869402, -4080423, 26, 8, 13, 6, 1, 22732, 25116, 2020-11-03 15:20:08, 3.6764705882352944, 51.3869402, -0.4080423, 
1604416867, 115, 24, 513868597, -4080682, 8, 7, 11, 5, 0, 29521, 26184, 2020-11-03 15:21:07, 3.6764705882352944, 51.3868597, -0.4080682, 
1604416927, 115, 24, 513868260, -4081204, 8, 9, 10, 4, 0, 38950, 30233, 2020-11-03 15:22:07, 3.6764705882352944, 51.386826, -0.4081204, 
1604416987, 116, 23, 513867585, -4082327, -3, 7, 29, 4, 0, 53022, 51476, 2020-11-03 15:23:07, 3.682352941176471, 51.3867585, -0.4082327, 
1604417047, 115, 24, 513867891, -4082057, 13, 9, 15, 5, 0, 28327, 27997, 2020-11-03 15:24:07, 3.6764705882352944, 51.3867891, -0.4082057, 
1604417107, 115, 24, 513868293, -4080718, 6, 0, 41, 6, 0, 25809, 24177, 2020-11-03 15:25:07, 3.6764705882352944, 51.3868293, -0.4080718, 
1604417227, 115, 24, 513868551, -4080672, 0, 1, 15, 6, 0, 19350, 25011, 2020-11-03 15:27:07, 3.6764705882352944, 51.3868551, -0.4080672, 
1604417287, 115, 24, 513868582, -4080532, 10, 0, 0, 6, 0, 17907, 21548, 2020-11-03 15:28:07, 3.6764705882352944, 51.3868582, -0.4080532, 
1604417347, 115, 24, 513868588, -4080249, 8, 15, 4, 5, 0, 28912, 36659, 2020-11-03 15:29:07, 3.6764705882352944, 51.3868588, -0.4080249, 
1604417408, 115, 24, 513870504, -4080505, 36, 14, 2, 5, 1, 57767, 62277, 2020-11-03 15:30:08, 3.6764705882352944, 51.3870504, -0.4080505, 
1604417467, 115, 24, 513869487, -4081971, 35, 5, 241, 5, 0, 54594, 77855, 2020-11-03 15:31:07, 3.6764705882352944, 51.3869487, -0.4081971, 
1604417527, 115, 24, 513868589, -4081028, 22, 0, 15, 6, 0, 28741, 41863, 2020-11-03 15:32:07, 3.6764705882352944, 51.3868589, -0.4081028, 
1604417587, 115, 24, 513868950, -4080556, 20, 4, 34, 6, 0, 19891, 29944, 2020-11-03 15:33:07, 3.6764705882352944, 51.386895, -0.4080556, 
1604417647, 115, 24, 513867827, -4081134, -2, 0, 0, 6, 0, 23249, 34502, 2020-11-03 15:34:07, 3.6764705882352944, 51.3867827, -0.4081134, 
1604417707, 115, 24, 513868451, -4081052, 8, 14, 2, 6, 0, 24284, 30701, 2020-11-03 15:35:07, 3.6764705882352944, 51.3868451, -0.4081052, 
1604417767, 115, 24, 513867115, -4080562, -5, 5, 3, 5, 0, 33578, 38080, 2020-11-03 15:36:07, 3.6764705882352944, 51.3867115, -0.4080562, 
1604417827, 115, 24, 513869254, -4080062, 4, 10, 0, 5, 0, 32774, 32720, 2020-11-03 15:37:07, 3.6764705882352944, 51.3869254, -0.4080062, 
1604417887, 115, 24, 513868972, -4080667, 10, 9, 0, 5, 0, 31487, 28930, 2020-11-03 15:38:07, 3.6764705882352944, 51.3868972, -0.4080667, 
1604417947, 115, 24, 513869926, -4080580, 11, 5, 0, 5, 0, 35447, 34326, 2020-11-03 15:39:07, 3.6764705882352944, 51.3869926, -0.408058, 
1604418007, 115, 24, 513868765, -4080522, 0, 11, 3, 6, 0, 37035, 34627, 2020-11-03 15:40:07, 3.6764705882352944, 51.3868765, -0.4080522, 
1604418067, 115, 24, 513868807, -4080915, 5, 13, 5, 6, 0, 29104, 35951, 2020-11-03 15:41:07, 3.6764705882352944, 51.3868807, -0.4080915, 
1604418127, 115, 24, 513867931, -4081097, 0, 11, 13, 5, 0, 30883, 30283, 2020-11-03 15:42:07, 3.6764705882352944, 51.3867931, -0.4081097, 
1604418187, 115, 24, 513868363, -4080827, 9, 2, 10, 6, 0, 25329, 31051, 2020-11-03 15:43:07, 3.6764705882352944, 51.3868363, -0.4080827, 
1604418247, 114, 24, 513867812, -4081259, 2, 0, 0, 6, 0, 22142, 37635, 2020-11-03 15:44:07, 3.6705882352941175, 51.3867812, -0.4081259, 
1604418307, 114, 24, 513867581, -4081626, 6, 12, 33, 6, 0, 25298, 33830, 2020-11-03 15:45:07, 3.6705882352941175, 51.3867581, -0.4081626, 
1604418367, 115, 24, 513869404, -4081567, 7, 6, 0, 6, 0, 43508, 42553, 2020-11-03 15:46:07, 3.6764705882352944, 51.3869404, -0.4081567, 
1604418428, 114, 24, 513869663, -4080527, 0, 7, 6, 6, 1, 32897, 44864, 2020-11-03 15:47:08, 3.6705882352941175, 51.3869663, -0.4080527, 
1604418487, 114, 24, 513870242, -4080511, 33, 11, 10, 6, 0, 63912, 71392, 2020-11-03 15:48:07, 3.6705882352941175, 51.3870242, -0.4080511, 
1604418547, 114, 24, 513870974, -4079865, 26, 9, 0, 6, 0, 48314, 43871, 2020-11-03 15:49:07, 3.6705882352941175, 51.3870974, -0.4079865, 
1604418607, 115, 24, 513868179, -4081159, 0, 4, 0, 4, 0, 52848, 58272, 2020-11-03 15:50:07, 3.6764705882352944, 51.3868179, -0.4081159, 
1604418675, 115, 24, 513873547, -4080630, 49, 11, 2, 4, 8, 50453, 50030, 2020-11-03 15:51:15, 3.6764705882352944, 51.3873547, -0.408063, 
1604418727, 115, 24, 513867825, -4080329, -7, 15, 1, 5, 0, 55347, 70180, 2020-11-03 15:52:07, 3.6764705882352944, 51.3867825, -0.4080329, 
1604418787, 114, 24, 513869235, -4081548, 12, 5, 0, 6, 0, 36515, 48055, 2020-11-03 15:53:07, 3.6705882352941175, 51.3869235, -0.4081548, 
1604418907, 114, 24, 513867760, -4080679, -2, 9, 0, 5, 0, 41699, 55109, 2020-11-03 15:55:07, 3.6705882352941175, 51.386776, -0.4080679, 
1604418967, 114, 24, 513869072, -4080722, 34, 7, 35, 5, 0, 27344, 52248, 2020-11-03 15:56:07, 3.6705882352941175, 51.3869072, -0.4080722, 
1604419027, 114, 24, 513867179, -4078723, 10, 4, 205, 6, 0, 37635, 51961, 2020-11-03 15:57:07, 3.6705882352941175, 51.3867179, -0.4078723, 
1604419087, 114, 24, 513868041, -4080730, 13, 12, 14, 6, 0, 26110, 42824, 2020-11-03 15:58:07, 3.6705882352941175, 51.3868041, -0.408073, 
1604419148, 114, 24, 513868077, -4080478, -23, 1, 0, 6, 0, 22413, 28382, 2020-11-03 15:59:08, 3.6705882352941175, 51.3868077, -0.4080478, 
1604419210, 114, 24, 513869193, -4080522, 9, 7, 0, 5, 3, 47474, 73749, 2020-11-03 16:00:10, 3.6705882352941175, 51.3869193, -0.4080522, 
