Unixtime, RawVoltage, boardtemp, Lat, Long, Alt, Speed, Course, Satelites, SecondsToFix, hAccuracy, vAccuracy, DateTime, CalcVoltage, CalcLat, CalcLong,
1604409008, 120, 24, 513868511, -4080566, -3, 8, 0, 9, 1, 31145, 35793, 2020-11-03 13:10:08, 3.7058823529411766, 51.3868511, -0.4080566, 
1604409068, 121, 24, 513867946, -4080948, -2, 9, 0, 7, 1, 36437, 45138, 2020-11-03 13:11:08, 3.711764705882353, 51.3867946, -0.4080948, 
1604409128, 121, 24, 513867328, -4080671, -6, 8, 15, 6, 1, 46748, 54576, 2020-11-03 13:12:08, 3.711764705882353, 51.3867328, -0.4080671, 
1604409188, 120, 24, 513869424, -4080933, 16, 7, 0, 7, 1, 44468, 53846, 2020-11-03 13:13:08, 3.7058823529411766, 51.3869424, -0.4080933, 
1604409248, 120, 24, 513870547, -4081097, 36, 10, 240, 8, 1, 30913, 44476, 2020-11-03 13:14:08, 3.7058823529411766, 51.3870547, -0.4081097, 
1604409309, 120, 24, 513871473, -4082048, 59, 6, 13, 6, 2, 61348, 77360, 2020-11-03 13:15:09, 3.7058823529411766, 51.3871473, -0.4082048, 
1604409368, 120, 24, 513868436, -4079857, 2, 1, 0, 6, 1, 56994, 75619, 2020-11-03 13:16:08, 3.7058823529411766, 51.3868436, -0.4079857, 
1604409429, 120, 24, 513869028, -4080086, 24, 5, 50, 9, 2, 40064, 65174, 2020-11-03 13:17:09, 3.7058823529411766, 51.3869028, -0.4080086, 
1604409489, 120, 24, 513870018, -4080014, 28, 8, 0, 7, 2, 56188, 76702, 2020-11-03 13:18:09, 3.7058823529411766, 51.3870018, -0.4080014, 
1604409551, 120, 24, 513868570, -4081304, -2, 3, 10, 5, 4, 54079, 73121, 2020-11-03 13:19:11, 3.7058823529411766, 51.386857, -0.4081304, 
1604409608, 120, 24, 513869456, -4081545, 20, 2, 12, 5, 1, 51559, 75457, 2020-11-03 13:20:08, 3.7058823529411766, 51.3869456, -0.4081545, 
1604409669, 120, 24, 513869421, -4081414, 19, 3, 14, 7, 2, 43460, 62850, 2020-11-03 13:21:09, 3.7058823529411766, 51.3869421, -0.4081414, 
1604409728, 120, 24, 513870116, -4081445, 54, 10, 3, 8, 1, 34107, 56941, 2020-11-03 13:22:08, 3.7058823529411766, 51.3870116, -0.4081445, 
1604409788, 120, 24, 513869896, -4081709, 29, 9, 15, 5, 1, 51891, 65841, 2020-11-03 13:23:08, 3.7058823529411766, 51.3869896, -0.4081709, 
1604409908, 120, 24, 513869024, -4081923, 22, 4, 0, 6, 1, 55034, 69647, 2020-11-03 13:25:08, 3.7058823529411766, 51.3869024, -0.4081923, 
1604409968, 120, 24, 513869593, -4080355, 11, 5, 0, 5, 1, 54480, 67584, 2020-11-03 13:26:08, 3.7058823529411766, 51.3869593, -0.4080355, 
1604410029, 119, 24, 513868586, -4080362, 17, 6, 3, 5, 2, 64344, 76002, 2020-11-03 13:27:09, 3.7, 51.3868586, -0.4080362, 
1604410088, 119, 24, 513871213, -4079941, 74, 12, 4, 5, 1, 50888, 76434, 2020-11-03 13:28:08, 3.7, 51.3871213, -0.4079941, 
1604410148, 119, 23, 513869541, -4080754, 39, 7, 0, 8, 1, 34773, 48466, 2020-11-03 13:29:08, 3.7, 51.3869541, -0.4080754, 
1604410208, 119, 23, 513871259, -4079872, 44, 27, 5, 5, 1, 60043, 79640, 2020-11-03 13:30:08, 3.7, 51.3871259, -0.4079872, 
1604410271, 119, 24, 513869479, -4081524, 11, 52, 0, 6, 4, 66679, 70596, 2020-11-03 13:31:11, 3.7, 51.3869479, -0.4081524, 
1604410328, 119, 24, 513868745, -4081576, 4, 2, 0, 5, 1, 44754, 51394, 2020-11-03 13:32:08, 3.7, 51.3868745, -0.4081576, 
1604410391, 119, 24, 513870108, -4079869, 34, 12, 2, 5, 4, 55683, 60179, 2020-11-03 13:33:11, 3.7, 51.3870108, -0.4079869, 
1604410450, 119, 24, 513867457, -4081028, 13, 10, 7, 4, 3, 68656, 71325, 2020-11-03 13:34:10, 3.7, 51.3867457, -0.4081028, 
1604410509, 119, 24, 513867003, -4081012, 9, 12, 7, 6, 2, 60312, 72683, 2020-11-03 13:35:09, 3.7, 51.3867003, -0.4081012, 
1604410574, 119, 24, 513866767, -4080988, -12, 9, 7, 7, 7, 46069, 84265, 2020-11-03 13:36:14, 3.7, 51.3866767, -0.4080988, 
1604410632, 119, 24, 513868551, -4079867, 48, 7, 6, 7, 5, 36207, 71935, 2020-11-03 13:37:12, 3.7, 51.3868551, -0.4079867, 
1604410690, 119, 24, 513871172, -4079644, 60, 10, 6, 7, 3, 29202, 78627, 2020-11-03 13:38:10, 3.7, 51.3871172, -0.4079644, 
1604410748, 119, 24, 513869901, -4079798, 44, 4, 1, 6, 1, 42394, 52527, 2020-11-03 13:39:08, 3.7, 51.3869901, -0.4079798, 
1604410810, 119, 24, 513869445, -4081327, -11, 6, 44, 5, 3, 38182, 66044, 2020-11-03 13:40:10, 3.7, 51.3869445, -0.4081327, 
1604410868, 119, 24, 513866232, -4081477, -19, 7, 17, 6, 1, 55106, 69354, 2020-11-03 13:41:08, 3.7, 51.3866232, -0.4081477, 
1604410935, 119, 24, 513871502, -4080252, 23, 3, 8, 5, 8, 66667, 63679, 2020-11-03 13:42:15, 3.7, 51.3871502, -0.4080252, 
1604410990, 119, 24, 513867643, -4081556, -13, 1, 17, 6, 3, 57848, 75532, 2020-11-03 13:43:10, 3.7, 51.3867643, -0.4081556, 
1604411050, 119, 24, 513867237, -4081349, 13, 15, 11, 5, 3, 68231, 68828, 2020-11-03 13:44:10, 3.7, 51.3867237, -0.4081349, 
1604411125, 119, 24, 513868501, -4080402, 8, 11, 248, 6, 18, 59429, 67654, 2020-11-03 13:45:25, 3.7, 51.3868501, -0.4080402, 
1604411169, 119, 24, 513867552, -4081145, 12, 3, 1, 4, 2, 59282, 71670, 2020-11-03 13:46:09, 3.7, 51.3867552, -0.4081145, 
1604411231, 118, 24, 513868001, -4084427, 21, 6, 237, 4, 4, 70383, 56100, 2020-11-03 13:47:11, 3.6941176470588237, 51.3868001, -0.4084427, 
1604411310, 118, 24, 513867368, -4082120, 25, 0, 43, 4, 23, 71398, 65462, 2020-11-03 13:48:30, 3.6941176470588237, 51.3867368, -0.408212, 
1604411354, 118, 24, 513866755, -4081855, -12, 9, 30, 5, 7, 54049, 52139, 2020-11-03 13:49:14, 3.6941176470588237, 51.3866755, -0.4081855, 
1604411412, 118, 24, 513867657, -4080696, 15, 3, 232, 6, 5, 61418, 73121, 2020-11-03 13:50:12, 3.6941176470588237, 51.3867657, -0.4080696, 
1604411468, 118, 24, 513871807, -4080571, 58, 3, 0, 7, 1, 60584, 78235, 2020-11-03 13:51:08, 3.6941176470588237, 51.3871807, -0.4080571, 
1604411528, 118, 24, 513869945, -4081723, 22, 6, 255, 5, 1, 49993, 45636, 2020-11-03 13:52:08, 3.6941176470588237, 51.3869945, -0.4081723, 
1604411590, 118, 24, 513868038, -4081727, 22, 10, 0, 4, 3, 72977, 57876, 2020-11-03 13:53:10, 3.6941176470588237, 51.3868038, -0.4081727, 
1604411658, 118, 24, 513867445, -4081435, 32, 3, 4, 6, 11, 38461, 87231, 2020-11-03 13:54:18, 3.6941176470588237, 51.3867445, -0.4081435, 
1604411718, 118, 24, 513868076, -4085727, 40, 6, 16, 6, 11, 40269, 88770, 2020-11-03 13:55:18, 3.6941176470588237, 51.3868076, -0.4085727, 
1604411773, 118, 24, 513868224, -4082157, 41, 6, 0, 6, 6, 39174, 87975, 2020-11-03 13:56:13, 3.6941176470588237, 51.3868224, -0.4082157, 
1604411832, 119, 24, 513869220, -4081542, -22, 1, 0, 5, 5, 57759, 70841, 2020-11-03 13:57:12, 3.7, 51.386922, -0.4081542, 
1604411890, 118, 24, 513869978, -4080570, 42, 6, 0, 5, 3, 63816, 73436, 2020-11-03 13:58:10, 3.6941176470588237, 51.3869978, -0.408057, 
1604411969, 118, 24, 513868294, -4080354, 23, 3, 9, 5, 22, 67391, 46377, 2020-11-03 13:59:29, 3.6941176470588237, 51.3868294, -0.4080354, 
1604412015, 118, 24, 513867027, -4081638, 28, 9, 18, 4, 8, 58522, 78424, 2020-11-03 14:00:15, 3.6941176470588237, 51.3867027, -0.4081638, 
1604412073, 118, 24, 513871424, -4080213, 56, 13, 5, 5, 6, 50129, 68355, 2020-11-03 14:01:13, 3.6941176470588237, 51.3871424, -0.4080213, 
1604412131, 118, 24, 513869268, -4080386, 37, 1, 0, 4, 4, 48200, 83563, 2020-11-03 14:02:11, 3.6941176470588237, 51.3869268, -0.4080386, 
1604412189, 118, 24, 513870087, -4081240, -6, 16, 3, 4, 2, 58556, 73164, 2020-11-03 14:03:09, 3.6941176470588237, 51.3870087, -0.408124, 
1604412248, 118, 24, 513869859, -4081822, -7, 8, 3, 5, 1, 56588, 68806, 2020-11-03 14:04:08, 3.6941176470588237, 51.3869859, -0.4081822, 
1604412308, 118, 24, 513868501, -4080919, 15, 7, 13, 5, 1, 53102, 44091, 2020-11-03 14:05:08, 3.6941176470588237, 51.3868501, -0.4080919, 
1604412369, 118, 24, 513869310, -4081198, -7, 16, 0, 4, 2, 66303, 61324, 2020-11-03 14:06:09, 3.6941176470588237, 51.386931, -0.4081198, 
1604412428, 118, 24, 513869435, -4081103, 6, 4, 3, 4, 1, 46644, 45052, 2020-11-03 14:07:08, 3.6941176470588237, 51.3869435, -0.4081103, 
1604412488, 117, 24, 513868541, -4081138, 4, 0, 17, 4, 1, 40609, 48254, 2020-11-03 14:08:08, 3.6882352941176473, 51.3868541, -0.4081138, 
1604412548, 118, 24, 513869526, -4080944, 0, 15, 0, 4, 1, 70512, 50989, 2020-11-03 14:09:08, 3.6941176470588237, 51.3869526, -0.4080944, 
1604412609, 118, 24, 513868946, -4080611, 18, 14, 1, 4, 2, 73211, 49112, 2020-11-03 14:10:09, 3.6941176470588237, 51.3868946, -0.4080611, 
1604412672, 117, 24, 513870513, -4081304, 1, 9, 0, 4, 5, 76165, 46233, 2020-11-03 14:11:12, 3.6882352941176473, 51.3870513, -0.4081304, 
1604412739, 118, 24, 513870278, -4081026, 5, 19, 16, 4, 12, 69501, 61520, 2020-11-03 14:12:19, 3.6941176470588237, 51.3870278, -0.4081026, 
